,num,del_flag,id,full_name
Кріс Вітт,81,True,449,
Макс Бужанск,81,True,450,
Юр Горбун,81,True,451,
Робін Куінвілл,81,True,452,
Кирил Сазон,80,False,453,Кирило Сазонов
Влад Ям,80,True,454,
Пітер Дашак,80,False,455,Пітер Дашак
Серг Шах,80,True,456,
Даніл,79,True,457,
Катерин Кухар,79,True,458,
Юр Корольчук,79,False,459,Юрій Корольчук
Витал Портник,79,False,460,Віталій Портников
Даш Астафєв,78,True,461,
Евген Шевченк,78,False,462,Євген Шевченко
Борис Бабін,78,False,463,Борис Бабін
Вад Омельченк,78,True,464,
Віктор Скаршевськ,77,False,465,Віктор Скаршевський
Матеуш Моравецьк,77,True,466,
Дмитр Наталух,77,True,467,
Юл Кузьменк,77,True,468,
Ірин,77,True,469,
Васил Кирилич,77,True,470,
Олександр Устін,76,True,471,
Андж Дуд,76,True,472,
Кім Чен Ин,76,True,473,
Володимир Паніотт,76,False,474,Володимир Паніотто
Ольг Фреймут,76,True,475,
Вад Гутцайт,76,True,476,
Егіс Клімас,76,False,477,
Анатол Штефан,75,False,478,Анатолій Штефан
Ренат Кузьмін,75,True,479,
Саїд Хатібзад,75,True,480,
Джамал,74,True,481,
Андр Данилк,74,True,482,
Антон Гутерреш,74,True,483,
Над Захав,74,True,484,
Курт Волкер,74,True,485,
Ірин Білик,73,True,486,
Катерин Хижняк,73,True,487,
Серг Наєв,73,False,488,
Олекс Гончарук,73,False,489,Олексій Гончарук
Ел Зеленск,73,True,490,
Юл Свириденк,73,True,491,Юлія Свириденко
Серг Палкін,73,False,492,
Лес Українк,73,True,493,
Володимир Вятрович,73,False,494,
Натал Виноград,72,False,495,Наталія Виноград
Дмитр Комар,72,False,496,Дмитро Комаров
Йенс Шпан,72,True,497,
Даш Квітк,71,True,498,
Зірк,71,True,499,
Кат Осадч,71,True,500,
Українські Новин,71,True,501,
Васил Володін,71,False,502,
Кирил Дмитрієв,71,False,503,Кирило Дмитрієв
Андр Рев,71,False,504,Андрій Рева
Мінюст,71,True,505,
Ізраїл,71,True,506,
Злат Огнєвіч,71,False,507,
Галин Третьяков,70,True,508,
Ірин Микичак,70,True,509,
Джузепп Конт,70,True,510,
Ірин Федишин,70,True,511,
Борис Донськ,70,False,512,Борис Донськой
Кір Ярмиш,70,True,513,
Роман Яремчук,70,True,514,
Ігор Циганик,69,False,515,
Андр Бабіш,69,True,516,
Ігор Додон,69,True,517,
Васил Невмержицк,69,False,518,Василь Невмержицький
Емманюел Макрон,69,True,519,
Андр Тан,69,True,520,
Світлан Рибалк,69,True,521,
Катерин,69,True,522,
Руслан Рябошапк,69,False,523,Руслан Рябошапка
Олекс Тригубенк,69,True,524,
Володимир Курпіт,68,False,525,Володимир Курпіта
Дмитр Козак,68,True,526,
Олександр Шевченк,68,False,527,
Скотт Моррісон,68,True,528,
Ольг Василевськ,68,False,529,
Володимир,68,True,530,
Серг Чех,68,False,531,Сергій Чех
Лід Ткаченк,67,False,532,Лідія Ткаченко
Мелан Трамп,67,True,533,
Олександр Ковальчук,67,True,534,
Маш Єфросинін,67,True,535,
Марк Рютт,67,True,536,
Юр Гус,67,True,537,
Кост Бондаренк,66,False,538,Кость Бондаренко
Ляйен,66,False,539,
Катерин Медушкін,66,False,540,
Оксан Гайсинськ,66,True,541,
Марин Хонд,66,False,542,
Васил Вірастюк,66,True,543,Василь Вірастюк
Олег Синєгуб,66,False,544,
Наст,66,True,545,
Серг Макогон,65,True,546,
Віктор Ющенк,65,False,547,Віктор Ющенко
Олег Самчук,65,False,548,
Віктор Тимчик,65,True,549,
Серг Чиж,65,True,550,
